CUST_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY
1,John,Moore,john.moore90@example.com,(362) 561-2883,604 Elm St,Los Angeles,IL,33696,Mexico
2,William,Jackson,william.jackson64@example.com,(287) 445-9967,4164 Second St,San Diego,IL,17713,Mexico
3,Jane,Smith,jane.smith71@example.com,(477) 105-4806,8342 Main St,New York,TX,52124,Canada
4,William,Jackson,william.jackson91@example.com,(513) 344-5265,823 Second St,Los Angeles,AZ,67603,UK
5,Jennifer,Moore,jennifer.moore48@example.com,(772) 479-2002,1109 Walnut Ct,Chicago,CA,44675,UK
6,Jennifer,Anderson,jennifer.anderson29@example.com,(824) 525-9764,9341 Elm St,San Antonio,PA,77938,Canada
7,Jane,Moore,jane.moore28@example.com,(321) 552-7857,9506 Pine Rd,Chicago,CA,13504,USA
8,Patricia,Williams,patricia.williams19@example.com,(784) 847-1339,5063 Pine Rd,San Antonio,PA,42294,USA
9,Susan,Thomas,susan.thomas73@example.com,(809) 322-5762,9990 Maple Dr,New York,IL,52838,Mexico
10,Robert,Jones,robert.jones60@example.com,(866) 510-2762,7087 Second St,San Jose,NY,62604,Germany
11,Elizabeth,Jackson,elizabeth.jackson38@example.com,(782) 314-5173,6503 Broadway,Los Angeles,AZ,88769,USA
12,William,Williams,william.williams66@example.com,(175) 307-8887,6412 Oak Ave,New York,AZ,15079,UK
13,Michael,Thomas,michael.thomas52@example.com,(446) 270-2918,3700 Elm St,Dallas,NY,90099,Mexico
14,Peter,Anderson,peter.anderson73@example.com,(916) 779-7611,730 Cedar Ln,San Antonio,PA,61147,Germany
15,Linda,Jackson,linda.jackson82@example.com,(522) 756-9518,1555 Broadway,San Diego,AZ,96322,UK
16,Linda,Wilson,linda.wilson57@example.com,(455) 833-1800,2819 Elm St,San Antonio,NY,23170,Germany
17,Robert,Moore,robert.moore89@example.com,(389) 340-3793,5696 Main St,Chicago,AZ,59955,Canada
18,Peter,Brown,peter.brown34@example.com,(974) 494-9594,1630 Cedar Ln,Phoenix,TX,91483,Mexico
